Channel,성별,최소,최대,concat,비율
Youtube,M,7,12,YoutubeM712,0.01421417
Youtube,M,13,18,YoutubeM1318,0.067669735
Youtube,M,19,24,YoutubeM1924,0.045558099
Youtube,M,25,29,YoutubeM2529,0.058531643
Youtube,M,30,34,YoutubeM3034,0.100465397
Youtube,M,35,39,YoutubeM3539,0.049961006
Youtube,M,40,44,YoutubeM4044,0.050052074
Youtube,M,45,49,YoutubeM4549,0.076262743
Youtube,M,50,54,YoutubeM5054,0.027105165
Youtube,M,55,59,YoutubeM5559,0.027105165
Youtube,M,60,64,YoutubeM6064,0.025931043
Youtube,M,65,69,YoutubeM6569,0.025931043
Youtube,F,7,12,YoutubeF712,0.02713626
Youtube,F,13,18,YoutubeF1318,0.024048604
Youtube,F,19,24,YoutubeF1924,0.025422807
Youtube,F,25,29,YoutubeF2529,0.016014988
Youtube,F,30,34,YoutubeF3034,0.023209509
Youtube,F,35,39,YoutubeF3539,0.074599877
Youtube,F,40,44,YoutubeF4044,0.075630341
Youtube,F,45,49,YoutubeF4549,0.059104226
Youtube,F,50,54,YoutubeF5054,0.027105165
Youtube,F,55,59,YoutubeF5559,0.027105165
Youtube,F,60,64,YoutubeF6064,0.025931043
Youtube,F,65,69,YoutubeF6569,0.025931043
TV,M,7,12,TVM712,0.014450923
TV,M,13,18,TVM1318,0.013011143
TV,M,19,24,TVM1924,0.020523786
TV,M,25,29,TVM2529,0.011950355
TV,M,30,34,TVM3034,0.027489163
TV,M,35,39,TVM3539,0.033385643
TV,M,40,44,TVM4044,0.051578634
TV,M,45,49,TVM4549,0.077125982
TV,M,50,54,TVM5054,0.066355091
TV,M,55,59,TVM5559,0.066355091
TV,M,60,64,TVM6064,0.065261798
TV,M,65,69,TVM6569,0.065261798
TV,F,7,12,TVF712,0.011243676
TV,F,13,18,TVF1318,0.008233118
TV,F,19,24,TVF1924,0.021114552
TV,F,25,29,TVF2529,0.013749986
TV,F,30,34,TVF3034,0.028635575
TV,F,35,39,TVF3539,0.05028938
